"Date","Time","Open","High","Low","Close","Up","Down"
10/08/2020,07:13,3437.07,3438.21,3437.07,3437.99,3103,1413
10/08/2020,07:14,3437.93,3438.52,3437.28,3438.25,2287,2282
10/08/2020,07:15,3438.29,3438.32,3437.12,3437.12,2039,1847
10/08/2020,07:16,3437.00,3437.16,3436.06,3437.01,3752,2576
10/08/2020,07:17,3437.02,3439.68,3437.02,3439.11,6618,1382
10/08/2020,07:18,3439.06,3439.06,3436.50,3436.64,1811,4534
10/08/2020,07:19,3436.62,3437.32,3436.61,3436.92,2622,2740
10/08/2020,07:20,3436.98,3437.62,3436.18,3436.92,3133,2601
10/08/2020,07:21,3436.95,3438.46,3436.66,3436.70,4782,3890
10/08/2020,07:22,3436.75,3438.16,3436.75,3438.16,2478,2961
10/08/2020,07:23,3438.17,3439.29,3438.17,3439.26,2432,2868
10/08/2020,07:24,3439.27,3439.27,3438.00,3438.62,2806,4498
10/08/2020,07:25,3438.60,3438.77,3437.51,3438.28,2661,3200
10/08/2020,07:26,3438.30,3438.43,3434.20,3434.20,2352,5240
10/08/2020,07:27,3434.47,3435.24,3434.08,3435.08,3288,2464
10/08/2020,07:28,3434.98,3435.39,3434.60,3435.32,2284,3189
10/08/2020,07:29,3435.36,3435.61,3434.47,3435.50,2859,2641
10/08/2020,07:30,3435.65,3437.05,3435.51,3436.68,3071,1791
10/08/2020,07:31,3436.80,3437.62,3436.80,3437.57,2655,2610
10/08/2020,07:32,3437.58,3438.30,3437.34,3438.30,3752,2357
10/08/2020,07:33,3438.31,3440.83,3438.31,3440.83,4008,1470
10/08/2020,07:34,3440.95,3442.69,3440.95,3442.60,4139,3877
10/08/2020,07:35,3442.61,3442.61,3441.93,3442.45,3247,2220
10/08/2020,07:36,3442.53,3443.10,3442.29,3442.92,2956,2095
10/08/2020,07:37,3442.95,3442.97,3442.44,3442.63,3524,2812
10/08/2020,07:38,3442.61,3443.53,3442.54,3443.39,4039,2130
10/08/2020,07:39,3443.36,3443.36,3442.15,3442.18,1811,3539
10/08/2020,07:40,3442.21,3442.73,3442.14,3442.73,3652,1874
10/08/2020,07:41,3442.78,3443.33,3442.18,3442.23,2021,2329
10/08/2020,07:42,3442.27,3442.39,3441.70,3441.92,1798,2594
10/08/2020,07:43,3441.94,3441.95,3441.19,3441.19,2287,3649
10/08/2020,07:44,3441.15,3441.15,3440.53,3440.58,2168,2412
10/08/2020,07:45,3440.53,3440.53,3439.71,3439.73,1749,3143
10/08/2020,07:46,3439.75,3441.24,3439.71,3440.79,2587,1821
10/08/2020,07:47,3440.75,3440.75,3440.19,3440.51,2350,2336
10/08/2020,07:48,3440.51,3440.61,3439.80,3440.14,2150,1778
10/08/2020,07:49,3440.15,3440.83,3440.14,3440.44,2386,2038
10/08/2020,07:50,3440.43,3441.04,3440.43,3441.04,1929,1760
10/08/2020,07:51,3441.05,3444.45,3441.05,3444.37,3618,2545
10/08/2020,07:52,3444.31,3444.31,3442.82,3443.04,1867,3000
10/08/2020,07:53,3443.06,3443.19,3442.69,3442.94,1790,1937
10/08/2020,07:54,3442.89,3443.01,3441.88,3441.88,1828,2446
10/08/2020,07:55,3441.80,3441.86,3438.25,3438.40,2441,3709
10/08/2020,07:56,3438.37,3439.51,3438.37,3439.05,1657,1847
10/08/2020,07:57,3439.08,3439.77,3439.08,3439.77,2115,1587
10/08/2020,07:58,3439.79,3440.22,3439.45,3439.45,2105,1814
10/08/2020,07:59,3439.24,3439.73,3438.31,3439.45,3293,1219
10/08/2020,08:00,3439.39,3439.72,3439.37,3439.64,2437,1646
10/08/2020,08:01,3439.14,3440.73,3437.73,3439.33,4014,3010
10/08/2020,08:02,3439.32,3440.27,3438.79,3439.24,1971,2254
10/08/2020,08:03,3439.24,3439.84,3439.12,3439.12,1533,2605
10/08/2020,08:04,3439.10,3439.80,3439.10,3439.62,2157,1775
10/08/2020,08:05,3439.68,3440.81,3439.68,3440.54,2358,1850
10/08/2020,08:06,3440.51,3442.31,3440.51,3442.20,3361,1375
10/08/2020,08:07,3442.11,3442.58,3441.25,3441.28,1997,2774
