Date,Time,Adj Vol,Open,High,Low,Close
2015-07-06,17:00:00,98867.0,19.0,19.55,17.05,17.15
2015-07-02,16:15:00,106239.0,15.95,17.45,15.75,16.9
2015-07-01,16:59:00,97598.0,17.3,17.35,15.75,15.9
2015-06-30,16:56:00,153383.0,17.15,18.15,16.25,17.25
2015-06-29,17:00:00,165639.0,14.85,17.55,14.85,17.15
2015-06-26,16:15:00,51724.0,14.6,14.9,14.4,14.55
2015-06-25,16:49:00,60087.0,14.5,14.7,14.15,14.65
2015-06-24,16:58:00,63393.0,14.15,14.6,14.05,14.55
2015-06-23,16:59:00,56019.0,14.55,14.6,14.05,14.1
2015-06-22,16:44:00,55222.0,15.35,15.35,14.5,14.55
2015-06-19,16:15:00,55730.0,15.05,15.45,14.9,15.45
2015-06-18,16:58:00,81551.0,15.65,15.85,14.9,15.0
2015-06-17,16:58:00,80068.0,15.6,15.95,14.55,15.65
2015-06-16,17:00:00,109751.0,15.85,16.25,14.9,15.6
2015-06-15,16:59:00,154165.0,15.4,16.1,14.4,15.5
2015-06-12,16:15:00,115024.0,15.15,15.6,13.55,15.4
2015-06-11,16:59:00,101145.0,13.85,15.45,13.5,15.15
2015-06-10,16:57:00,94560.0,14.8,16.05,13.85,15.4
2015-06-09,16:57:00,55835.0,15.2,15.55,14.8,14.8
2015-06-08,17:00:00,58745.0,14.7,15.35,14.7,15.25
2015-06-05,16:15:00,80119.0,15.0,15.3,14.7,14.75
2015-06-04,16:57:00,93573.0,14.45,15.25,14.45,15.0
2015-06-03,16:55:00,59537.0,14.8,14.85,14.35,14.4
2015-06-02,16:51:00,62073.0,14.6,14.95,14.5,14.8
2015-06-01,16:48:00,50771.0,14.6,14.8,14.35,14.55
2015-05-29,16:15:00,70539.0,14.5,15.0,14.45,14.65
2015-05-28,16:52:00,54319.0,14.55,14.85,14.45,14.5
2015-05-27,16:58:00,56272.0,14.9,15.0,14.3,14.5
2015-05-26,16:59:00,85288.0,14.45,15.2,14.4,14.95
2015-05-25,11:29:00,921.0,14.5,14.6,14.35,14.45
2015-05-22,16:15:00,45953.0,14.35,14.55,14.25,14.45
2015-05-21,17:00:00,59510.0,14.95,15.0,14.3,14.35
2015-05-20,16:55:00,57869.0,14.9,15.05,13.05,14.9
2015-05-19,17:00:00,91404.0,13.25,15.15,12.95,14.85
2015-05-18,16:46:00,78913.0,15.5,15.65,13.45,14.95
2015-05-15,16:15:00,81471.0,13.7,15.8,13.5,15.5
2015-05-14,16:59:00,60913.0,14.35,16.0,13.7,15.65
2015-05-13,16:59:00,91803.0,14.65,16.15,14.25,14.35
2015-05-12,16:58:00,55189.0,14.9,15.5,14.5,14.65
2015-05-11,16:55:00,46596.0,14.4,14.95,14.25,14.9
2015-05-08,16:15:00,59500.0,15.4,15.5,14.2,14.4
2015-05-07,16:58:00,67976.0,15.7,16.2,15.35,15.5
2015-05-06,17:00:00,71833.0,15.2,16.25,14.9,15.65
2015-05-05,16:58:00,70621.0,14.5,15.25,14.45,15.2
2015-05-04,16:47:00,41028.0,14.5,14.8,14.25,14.5
2015-05-01,16:15:00,46904.0,15.4,15.5,14.45,14.45
2015-04-30,16:59:00,58027.0,15.1,15.85,14.95,15.45
2015-04-29,17:00:00,72255.0,14.55,15.3,14.5,15.05
2015-04-28,16:57:00,55394.0,15.05,15.75,14.45,14.55
2015-04-27,16:57:00,44636.0,14.6,15.25,14.4,15.05
2015-04-24,16:15:00,31825.0,14.75,14.85,14.55,14.65
2015-04-23,17:00:00,37582.0,14.95,15.25,14.6,14.75
2015-04-22,17:00:00,41300.0,15.1,15.45,14.85,15.0
2015-04-21,16:58:00,44244.0,15.15,15.35,14.85,15.1
2015-04-20,16:56:00,55144.0,15.6,15.75,15.0,15.15
2015-04-17,16:15:00,79508.0,15.15,16.2,15.15,15.65
2015-04-16,16:49:00,39084.0,15.35,15.7,15.0,15.1
2015-04-15,16:55:00,48930.0,13.65,15.8,13.25,15.35
2015-04-14,16:57:00,91763.0,16.0,16.25,13.65,15.65
2015-04-13,16:57:00,108717.0,15.45,16.1,13.2,14.3
2015-04-10,16:15:00,79954.0,16.2,16.25,13.7,15.4
2015-04-09,17:00:00,73369.0,14.75,16.85,14.05,14.1
2015-04-08,16:58:00,70465.0,15.3,17.1,14.8,14.85
2015-04-07,16:43:00,32648.0,15.3,15.4,15.0,15.35
2015-04-06,16:46:00,33513.0,16.2,16.25,15.15,15.3
2015-04-03,09:15:00,2081.0,15.6,16.25,15.55,16.25
2015-04-02,16:59:00,35359.0,16.05,16.3,15.6,15.65
2015-04-01,16:59:00,56530.0,16.3,16.95,16.0,16.05
2015-03-31,16:59:00,41277.0,15.8,16.35,15.75,16.3
2015-03-30,16:58:00,39136.0,16.2,16.4,15.6,15.8
2015-03-27,16:15:00,43328.0,16.5,16.8,16.2,16.25
2015-03-26,16:41:00,74944.0,16.6,17.45,16.45,16.5
2015-03-25,17:00:00,69891.0,15.85,16.7,15.7,16.6
2015-03-24,16:59:00,61082.0,16.05,16.1,15.55,15.85
2015-03-23,16:58:00,37709.0,16.15,16.35,15.75,16.05
2015-03-20,16:15:00,73928.0,16.6,16.7,15.45,16.15
2015-03-19,17:00:00,53681.0,16.5,17.05,16.45,16.6
2015-03-18,16:55:00,82690.0,15.7,17.65,15.55,16.55
2015-03-17,16:56:00,69449.0,17.5,17.8,15.65,15.7
2015-03-16,17:00:00,67882.0,16.4,17.95,15.7,17.45
2015-03-13,16:15:00,82597.0,15.85,18.25,15.7,17.9
2015-03-12,17:00:00,81720.0,17.15,18.5,15.8,17.4
2015-03-11,16:59:00,74922.0,16.85,18.6,16.5,17.15
2015-03-10,17:00:00,61553.0,15.9,17.05,15.85,16.85
2015-03-09,16:38:00,40500.0,16.2,16.35,15.7,15.9
2015-03-06,16:15:00,73146.0,15.45,16.5,15.3,16.2
2015-03-05,16:57:00,42422.0,15.8,15.9,15.3,15.4
2015-03-04,17:00:00,54062.0,15.85,16.5,15.65,15.75
2015-03-03,16:54:00,49522.0,15.35,16.35,15.35,15.8
2015-03-02,16:57:00,36448.0,15.9,16.0,15.3,15.35
2015-02-27,16:15:00,44331.0,16.05,16.25,15.7,15.85
2015-02-26,16:59:00,51545.0,16.35,16.65,15.9,16.05
2015-02-25,16:55:00,59939.0,16.15,16.6,15.55,16.35
2015-02-24,16:56:00,62377.0,17.05,17.05,16.1,16.15
2015-02-23,16:55:00,31402.0,16.95,17.3,16.9,17.0
2015-02-20,16:15:00,64241.0,17.65,18.1,16.8,16.9
2015-02-19,16:38:00,42983.0,18.0,18.25,17.55,17.6
2015-02-18,16:59:00,51650.0,16.25,18.45,15.85,17.95
2015-02-17,16:58:00,79714.0,18.25,18.55,16.1,16.15
2015-02-16,11:30:00,2274.0,16.5,18.35,16.45,18.05
2015-02-13,16:15:00,86548.0,16.9,18.55,16.4,18.1
2015-02-12,16:55:00,102616.0,18.25,19.4,16.85,16.9
2015-02-11,17:00:00,77981.0,18.65,19.7,18.05,18.2
2015-02-10,17:00:00,41298.0,19.65,19.75,18.4,18.65
2015-02-09,16:51:00,42025.0,19.3,20.15,19.3,19.6
2015-02-06,16:15:00,74812.0,18.6,20.05,17.95,19.15
2015-02-05,16:58:00,47788.0,19.95,20.15,18.35,18.6
2015-02-04,17:00:00,63438.0,18.95,20.1,18.45,19.95
2015-02-03,16:59:00,64831.0,20.1,20.5,18.75,18.9
2015-02-02,16:58:00,78708.0,21.0,21.85,19.8,20.05
2015-01-30,16:15:00,81884.0,19.1,21.7,19.05,21.05
2015-01-29,17:00:00,93238.0,20.2,20.85,19.0,19.05
2015-01-28,17:00:00,104896.0,17.75,20.5,17.5,20.25
2015-01-27,17:00:00,79383.0,17.25,18.75,17.25,17.7
2015-01-26,16:58:00,55456.0,18.6,19.2,17.2,17.2
2015-01-23,16:15:00,65822.0,17.85,18.5,17.6,18.35
2015-01-22,16:59:00,90261.0,18.9,19.35,17.8,17.85
2015-01-21,17:00:00,92135.0,20.1,20.65,18.85,18.9
2015-01-20,16:48:00,109107.0,20.25,20.8,19.45,20.15
2015-01-19,11:30:00,6713.0,20.7,21.1,19.8,20.3
2015-01-16,16:15:00,109731.0,21.0,22.35,20.05,20.15
2015-01-15,16:59:00,138596.0,19.8,21.65,19.25,20.85
2015-01-14,17:00:00,160920.0,20.1,21.45,19.55,19.8
2015-01-13,17:00:00,83614.0,19.5,20.8,18.4,20.0
2015-01-12,16:57:00,70722.0,18.5,20.0,18.0,19.5
2015-01-09,16:15:00,81806.0,17.65,18.7,17.25,18.65
2015-01-08,16:56:00,64304.0,18.8,18.8,17.5,17.65
2015-01-07,17:00:00,77268.0,19.75,19.75,18.65,18.8
2015-01-06,16:55:00,112962.0,19.0,20.55,18.7,19.75
2015-01-05,16:59:00,94046.0,17.85,19.55,17.55,19.0
2015-01-02,16:15:00,92040.0,17.85,18.9,17.1,17.85
2014-12-31,16:15:00,63314.0,16.5,18.4,16.25,18.05
2014-12-30,16:56:00,36151.0,16.0,16.65,16.0,16.45
2014-12-29,16:51:00,39781.0,15.8,16.45,15.8,15.95
2014-12-26,16:15:00,24829.0,16.2,16.25,15.8,15.85
2014-12-24,13:15:00,22112.0,15.95,16.25,15.8,16.2
2014-12-23,17:00:00,50793.0,16.3,16.5,15.9,15.9
2014-12-22,16:55:00,58650.0,16.55,16.7,16.0,16.3
2014-12-19,16:15:00,95530.0,17.05,17.25,16.35,16.55
2014-12-18,16:56:00,112371.0,17.55,17.7,16.6,17.0
2014-12-17,17:00:00,152312.0,19.95,23.1,17.5,17.6
2014-12-16,16:59:00,203101.0,18.7,23.2,17.7,20.0
2014-12-15,16:58:00,210456.0,19.15,19.8,18.0,18.75
2014-12-12,16:15:00,241227.0,18.85,19.75,18.3,19.15
2014-12-11,17:00:00,213028.0,17.6,19.45,15.7,19.1
2014-12-10,17:00:00,197784.0,14.8,17.8,14.75,17.55
2014-12-09,16:57:00,86275.0,14.55,15.85,14.45,14.8
2014-12-08,17:00:00,59499.0,13.6,14.7,13.5,14.55
2014-12-05,16:15:00,46391.0,13.95,14.0,13.4,13.55
2014-12-04,16:54:00,52662.0,14.2,14.6,13.85,13.95
2014-12-03,16:54:00,32077.0,14.2,14.4,14.05,14.25
2014-12-02,16:59:00,50886.0,15.55,15.55,14.15,14.2
2014-12-01,16:54:00,61635.0,14.85,15.6,14.8,15.55
2014-11-28,13:15:00,41919.0,14.3,14.9,14.2,14.85
2014-11-27,11:30:00,1244.0,14.15,14.35,14.1,14.3
2014-11-26,16:57:00,27366.0,14.4,14.6,14.15,14.15
2014-11-25,16:59:00,36968.0,14.55,14.7,14.4,14.45
2014-11-24,16:51:00,32449.0,14.95,14.95,14.5,14.55
2014-11-21,16:15:00,41243.0,15.15,15.25,14.7,14.9
2014-11-20,16:54:00,40189.0,15.45,15.85,15.1,15.1
2014-11-19,16:55:00,44148.0,15.15,15.6,13.8,15.45
2014-11-18,16:50:00,77332.0,15.35,15.4,13.7,13.95
2014-11-17,16:58:00,62308.0,15.3,15.75,14.2,15.35
2014-11-14,16:15:00,63591.0,15.5,15.65,14.4,15.3
2014-11-13,16:57:00,88636.0,15.2,15.75,13.95,15.5
2014-11-12,16:59:00,61511.0,14.05,15.4,14.05,15.15
2014-11-11,16:58:00,27637.0,13.95,14.4,13.8,14.1
2014-11-10,17:00:00,46722.0,14.85,14.95,13.8,13.95
2014-11-07,16:15:00,34249.0,14.9,15.2,14.7,14.8
2014-11-06,16:58:00,46798.0,15.35,15.7,14.85,14.9
2014-11-05,16:55:00,37313.0,15.8,15.85,15.2,15.3
2014-11-04,17:00:00,40268.0,15.95,16.5,15.7,15.75
2014-11-03,16:41:00,35116.0,15.7,16.15,15.5,15.95
2014-10-31,16:15:00,50948.0,16.15,16.15,15.2,15.75
2014-10-30,16:50:00,67669.0,16.3,16.9,15.75,16.1
2014-10-29,16:56:00,86329.0,15.8,16.6,15.7,16.3
2014-10-28,17:00:00,71172.0,16.85,16.95,15.65,15.7
2014-10-27,16:55:00,69973.0,16.94,17.8,16.7,16.85
2014-10-24,16:15:00,87802.0,17.3,18.4,16.9,16.95
2014-10-23,16:59:00,122935.0,18.1,18.2,16.9,17.3
2014-10-22,16:58:00,118798.0,16.9,18.6,16.75,18.1
2014-10-21,17:00:00,122296.0,18.15,19.0,16.8,16.9
2014-10-20,16:59:00,118433.0,19.9,21.35,18.2,18.2
2014-10-17,16:15:00,153457.0,20.95,22.3,19.2,19.9
2014-10-16,16:15:00,249633.0,23.45,26.25,20.4,21.05
2014-10-15,17:00:00,440844.0,20.8,23.7,19.6,21.85
2014-10-14,16:58:00,153497.0,22.55,22.65,19.6,20.8
2014-10-13,17:00:00,156509.0,19.75,23.0,18.75,22.95
2014-10-10,16:15:00,151817.0,17.35,20.0,16.7,19.8
2014-10-09,17:00:00,127948.0,15.25,17.4,15.1,17.35
2014-10-08,17:00:00,82360.0,17.1,17.3,15.15,15.2
2014-10-07,16:58:00,78486.0,15.8,17.15,15.65,17.1
2014-10-06,17:00:00,57679.0,15.2,15.8,14.7,15.75
2014-10-03,16:15:00,72972.0,16.5,16.65,15.05,15.15
2014-10-02,16:47:00,86220.0,16.85,17.3,16.1,16.5
2014-10-01,17:00:00,90907.0,16.45,17.15,16.15,16.85
2014-09-30,16:59:00,69554.0,16.25,16.4,15.75,16.4
2014-09-29,16:58:00,83310.0,15.3,16.4,15.3,16.25
2014-09-26,16:15:00,74053.0,15.7,15.85,15.0,15.3
2014-09-25,16:59:00,130513.0,14.65,16.05,14.6,15.75
2014-09-24,16:54:00,56576.0,15.35,15.4,14.55,14.65
2014-09-23,16:59:00,82136.0,14.8,15.5,14.7,15.4
2014-09-22,16:49:00,76056.0,14.15,14.9,14.1,14.8
2014-09-19,16:15:00,53413.0,14.0,14.3,13.8,14.1
2014-09-18,17:00:00,36673.0,14.25,14.3,14.0,14.0
2014-09-17,17:00:00,77558.0,14.35,14.5,13.95,14.25
2014-09-16,16:53:00,115258.0,15.2,15.35,13.2,14.35
2014-09-15,16:59:00,85793.0,14.85,15.25,14.0,15.15
2014-09-12,16:15:00,103774.0,14.45,15.0,13.45,14.75
2014-09-11,16:54:00,66251.0,13.7,14.8,13.5,13.5
2014-09-10,16:57:00,71402.0,13.8,14.85,13.65,13.65
2014-09-09,16:54:00,49958.0,13.3,14.0,13.25,13.85
2014-09-08,16:55:00,25340.0,13.2,13.5,13.2,13.3
2014-09-05,16:15:00,40364.0,13.5,13.8,13.15,13.2
2014-09-04,16:58:00,51567.0,13.5,13.75,13.2,13.45
2014-09-03,16:49:00,35222.0,13.7,13.75,13.4,13.5
2014-09-02,17:00:00,31305.0,13.75,13.85,13.55,13.7
2014-09-01,11:31:00,981.0,13.75,13.8,13.6,13.7
2014-08-29,16:15:00,27419.0,13.55,13.85,13.45,13.8
2014-08-28,16:45:00,31519.0,13.5,14.25,13.5,13.55
2014-08-27,16:54:00,21207.0,13.45,13.6,13.35,13.55
2014-08-26,16:59:00,32147.0,13.35,13.5,13.25,13.4
2014-08-25,16:38:00,28202.0,13.5,13.5,13.2,13.35
2014-08-22,16:15:00,57775.0,13.4,13.75,13.35,13.45
2014-08-21,16:42:00,37256.0,13.45,13.7,13.35,13.4
2014-08-20,16:54:00,55258.0,13.45,13.75,13.4,13.5
2014-08-19,16:56:00,64978.0,12.5,13.5,12.25,13.45
2014-08-18,16:53:00,75850.0,13.85,13.85,12.5,12.5
2014-08-15,16:15:00,161798.0,13.9,14.75,12.65,13.85
2014-08-14,16:58:00,78873.0,14.3,14.5,13.15,13.85
2014-08-13,17:00:00,85364.0,14.55,15.15,13.45,14.3
2014-08-12,16:50:00,53515.0,14.7,14.95,14.45,14.6
2014-08-11,16:35:00,53764.0,15.9,15.95,14.35,14.75
2014-08-08,16:15:00,76768.0,16.7,18.1,15.65,15.95
2014-08-07,17:00:00,114456.0,16.2,16.9,15.5,16.6
2014-08-06,16:59:00,97380.0,16.05,16.65,15.4,16.15
2014-08-05,16:58:00,126918.0,14.95,16.4,14.75,16.1
2014-08-04,17:00:00,97607.0,16.0,16.0,14.45,14.9
2014-08-01,16:15:00,192770.0,15.1,16.15,14.5,16.05
2014-07-31,16:57:00,135737.0,13.6,15.3,13.5,15.25
2014-07-30,16:53:00,78512.0,13.35,13.65,13.05,13.55
2014-07-29,16:54:00,53457.0,13.3,13.5,13.0,13.4
2014-07-28,16:35:00,55172.0,13.5,13.75,13.25,13.35
2014-07-25,16:15:00,55280.0,13.2,13.5,13.15,13.5
2014-07-24,17:00:00,38377.0,13.05,13.25,12.85,13.2
2014-07-23,16:56:00,52311.0,13.0,13.2,12.85,13.05
2014-07-22,16:58:00,51104.0,13.35,13.35,12.8,13.0
2014-07-21,16:45:00,74350.0,13.0,13.6,12.95,13.35
2014-07-18,16:15:00,84682.0,13.9,14.65,12.85,13.0
2014-07-17,17:00:00,169121.0,12.75,14.3,12.65,13.9
2014-07-16,16:54:00,61841.0,12.95,13.0,12.55,12.7
2014-07-15,16:54:00,98770.0,12.75,13.25,11.8,12.95
2014-07-14,17:00:00,63470.0,13.15,13.15,11.85,12.0
2014-07-11,16:15:00,64394.0,13.35,13.35,12.6,13.2
2014-07-10,16:59:00,119235.0,12.25,13.55,12.2,13.35
