purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1993-10-12,1994-02-10,462.47,473.13,81718.0,53268286.07,0.19332,0.0915,15797.72,1579772.38,-847850.4
1994-02-10,1994-06-10,473.13,459.48000999999994,27653.0,51025144.4,0.5749,0.30648000000000003,15897.71,1589770.97,-758159.54
1994-06-10,1994-10-11,459.48000999999994,466.34,33704.0,50863098.58,0.45183,0.18836,15228.48,1522847.83,-903227.77
1994-10-11,1995-02-10,466.34,481.95999000000006,19798.0,50983405.48,0.76678,0.00205,15180.71,1518071.04,-1529193.16
1995-02-10,1995-06-12,481.95999000000006,532.53998,305871.0,54843903.17,0.04975,0.00671,15217.08,1521708.22,-1331685.86
1995-06-12,1995-10-10,532.53998,578.37,30756.0,57769105.21,0.5322600000000001,0.0002,16370.19,1637018.86,-1652773.93
1995-10-10,1996-02-12,578.37,662.9500099999999,241030.0,64894695.91,0.07153999999999999,0.02758,17243.29,1724328.62,-1076811.17
1996-02-12,1996-06-10,662.9500099999999,673.60998,9562.0,64127133.52,2.02544,0.1838,19367.26,1936725.73,-1780343.43
1996-06-10,1996-10-10,673.60998,696.8200099999999,23897.0,64523027.51,0.80098,0.0761,19141.02,1914101.91,-1751386.76
1996-10-10,1997-02-10,696.8200099999999,793.46002,29671.0,71493336.91,0.64909,0.07818,19259.15,1925914.94,-1713206.21
1997-02-10,1997-06-10,793.46002,870.0499900000001,7057.0,76452413.6,3.02369,0.5865100000000001,21338.18,2133818.03,-1741256.11
1997-06-10,1997-10-10,870.0499900000001,970.61999,4212.0,83143462.85,5.4170300000000005,0.99284,22816.53,2281653.04,-1886285.36
1997-10-10,1998-01-12,970.61999,939.25,8939.0,79103511.12,2.7761099999999996,1.18355,24815.65,2481564.73,-1448405.03
1998-01-12,1998-04-13,939.25,1110.75,8187.0,90723792.75,2.88347,0.0,23606.97,2360696.89,-2384303.86
1998-04-13,1998-08-10,1110.75,1092.81995,13059.0,96738188.23,2.0736,7.70392,27079.14,2707914.24,7325555.75
1998-08-10,1998-10-08,1092.81995,970.6799900000001,7456.0,114556226.99,3.86869,41.569720000000004,28844.95,2884495.26,28081043.02
1998-10-08,1999-01-11,970.6799900000001,1276.2199699999999,1365.0,145622358.46,24.97784,4e-05,34094.75,3409475.16,-3443564.45
1999-01-11,1999-04-12,1276.2199699999999,1358.68994,9723.0,150582829.89,4.47031,0.21303000000000002,43464.82,4346482.41,-4182818.16
1999-04-12,1999-07-12,1358.68994,1406.81995,8082.0,151427780.47,5.56114,0.24155,44945.13,4494513.35,-4344237.77
1999-07-12,1999-10-12,1406.81995,1335.20996,10819.0,143200567.66,4.17778,3.47667,45199.4,4519940.18,-803730.31
