purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1985-10-10,1986-02-10,182.78999,216.24,863.0,1487428.18,0.14635,0.00777,126.3,12630.0,-12085.75
1986-02-10,1986-06-10,216.24,240.08,213.0,1636427.73,0.69227,0.07583,147.45,14745.35,-13277.62
1986-06-10,1986-10-10,240.08,236.27,153.0,1619314.11,1.06144,1.62133,162.4,16240.03,8403.92
1986-10-10,1987-01-12,236.27,261.35998,207.0,1773099.09,0.77484,0.00191,160.39,16039.19,-16160.04
1987-01-12,1987-05-11,261.35998,298.69,99.0,2009485.5,1.77986,0.3522,176.21,17620.61,-14310.04
1987-05-11,1987-08-10,298.69,328.0,154.0,2184428.55,1.2976,1e-05,199.83,19983.04,-20182.72
1987-08-10,1987-10-14,328.0,314.51999,645.0,2297987.98,0.33669,3.44431,217.17,21716.5,200224.32
1987-10-14,1987-10-19,314.51999,282.70001,238.0,2641650.25,0.9566,24.95339,227.67,22767.08,570895.93
1987-10-19,1987-11-10,282.70001,243.17,33.0,2307060.73,7.88847,19.74489,260.32,26031.95,38865.87
1987-11-10,1987-12-10,243.17,240.05,18.0,2272245.65,12.66269,10.10959,227.93,22792.84,-4823.51
1987-12-10,1988-01-11,240.05,247.51,17.0,2321110.41,12.86054,0.66402,218.63,21862.92,-20952.71
1988-01-11,1988-04-11,247.51,270.41,47.0,2510553.99,4.86567,0.00252,228.69,22868.65,-23085.5
1988-04-11,1988-08-10,270.41,266.48999,158.0,2462016.53,1.57591,0.79599,248.99,24899.38,-12571.73
1988-08-10,1988-12-12,266.48999,278.82001,199.0,2552304.14,1.22577,0.11261,243.93,24392.82,-22395.81
1988-12-12,1989-04-10,278.82001,297.94,400.0,2701823.87,0.63476,0.04906,253.9,25390.4,-23681.9
1989-04-10,1989-08-10,297.94,349.78,513.0,3140304.94,0.524,0.00612,268.81,26881.2,-26836.05
1989-08-10,1989-12-11,349.78,348.73999,423.0,3119745.55,0.73701,0.47279,311.76,31175.52,-11488.27
1989-12-11,1990-04-10,348.73999,342.41,300.0,3041494.04,1.03141,0.3024,309.42,30942.3,-22179.72
1990-04-10,1990-08-10,342.41,339.89999,615.0,3047050.4,0.492,0.9378,302.58,30258.0,27114.12
1990-08-10,1990-12-10,339.89999,328.97,183.0,2955702.44,1.64857,1.98446,301.69,30168.83,5845.1
1990-12-10,1991-03-11,328.97,375.10001,382.0,3336100.52,0.76959,0.00299,293.98,29398.34,-29578.1
1991-03-11,1991-06-10,375.10001,379.75,345.0,3344293.59,0.95984,0.02052,331.14,33114.48,-32737.68
1991-06-10,1991-10-10,379.75,380.54999,259.0,3333371.97,1.2828,0.59921,332.25,33224.52,-18037.23
1991-10-10,1992-02-10,380.54999,413.76999,236.0,3590653.45,1.40531,0.11945,331.65,33165.32,-30677.95
1992-02-10,1992-06-10,413.76999,410.10001,214.0,3530132.07,1.66357,0.32256,356.0,35600.4,-29053.61
1992-06-10,1992-10-13,410.10001,410.64002,476.0,3517207.0,0.73637,0.3725,350.51,35051.21,-17670.72
1992-10-13,1993-02-10,410.64002,446.37,327.0,3784884.93,1.06765,0.00335,349.12,34912.16,-35151.73
1993-02-10,1993-06-10,446.37,446.22,1198.0,3771163.23,0.31424,0.21109,376.46,37645.95,-12733.83
1993-06-10,1993-10-12,446.22,462.47,568.0,3869583.93,0.66001,0.00832,374.89,37488.57,-37390.88
1993-10-12,1994-02-10,462.47,473.13,1991.0,3937428.17,0.19332,0.0915,384.9,38490.01,-20657.26
1994-02-10,1994-06-10,473.13,459.48001,681.0,3806439.78,0.5749,0.30648,391.51,39150.69,-18670.91
1994-06-10,1994-10-11,459.48001,466.34,838.0,3840296.14,0.45183,0.18836,378.63,37863.35,-22457.42
1994-10-11,1995-02-10,466.34,481.95999,498.0,3929084.5,0.76678,0.00205,381.86,38185.64,-38465.41
1995-02-10,1995-06-12,481.95999,532.53998,7857.0,4303135.18,0.04975,0.00671,390.89,39088.58,-34207.42
1995-06-12,1995-10-10,532.53998,578.37,804.0,4626542.05,0.53226,0.0002,427.94,42793.7,-43205.56
1995-10-10,1996-02-12,578.37,662.95001,6434.0,5267742.46,0.07154,0.02758,460.29,46028.84,-28744.15
1996-02-12,1996-06-10,662.95001,673.60998,258.0,5303582.22,2.02544,0.1838,522.56,52256.35,-48036.87
1996-06-10,1996-10-10,673.60998,696.82001,658.0,5436377.85,0.80098,0.0761,527.04,52704.48,-48224.14
1996-10-10,1997-02-10,696.82001,793.46002,833.0,6134773.51,0.64909,0.07818,540.69,54069.2,-48097.49
1997-02-10,1997-06-10,793.46002,870.04999,201.0,6671613.77,3.02369,0.58651,607.76,60776.17,-49595.08
1997-06-10,1997-10-10,870.04999,970.61999,122.0,7380609.27,5.41703,0.99284,660.88,66087.77,-54636.0
1997-10-10,1998-01-12,970.61999,939.25,264.0,7102138.02,2.77611,1.18355,732.89,73289.3,-42776.47
1998-01-12,1998-04-13,939.25,1110.75,245.0,8314418.85,2.88347,0.0,706.45,70645.02,-71351.46
1998-04-13,1998-08-10,1110.75,1092.81995,398.0,8408144.37,2.0736,7.70392,825.29,82529.28,223261.45
1998-08-10,1998-10-08,1092.81995,970.67999,216.0,8297721.86,3.86869,41.56972,835.64,83563.7,813506.61
1998-10-08,1999-01-11,970.67999,1276.21997,33.0,10786344.0,24.97784,4e-05,824.27,82426.87,-83251.01
1999-01-11,1999-04-12,1276.21997,1358.68994,240.0,11373454.71,4.47031,0.21303,1072.87,107287.44,-103247.59
1999-04-12,1999-07-12,1358.68994,1406.81995,203.0,11663541.62,5.56114,0.24155,1128.91,112891.14,-109116.59
1999-07-12,1999-10-12,1406.81995,1335.20996,277.0,11056590.48,4.17778,3.47667,1157.25,115724.51,-20578.0
1999-10-12,2000-01-10,1335.20996,1464.35999,221.0,12004980.77,4.96642,0.04665,1097.58,109757.88,-109824.5
2000-01-10,2000-04-10,1464.35999,1527.18994,307.0,12450217.0,3.88287,1.78508,1192.04,119204.11,-65594.19
2000-04-10,2000-07-10,1527.18994,1486.56006,97.0,12029125.71,12.64313,3.13267,1226.38,122638.36,-93477.84
2000-07-10,2000-10-10,1486.56006,1408.82996,167.0,11297235.84,7.1479,0.65949,1193.7,119369.93,-109550.15
2000-10-10,2001-01-05,1408.82996,1334.77002,241.0,11780056.31,4.64601,48.6215,1119.69,111968.84,1058689.62
2001-01-05,2001-04-10,1334.77002,1173.92004,55.0,10423040.08,20.99054,31.72216,1154.48,115447.97,57869.43
2001-04-10,2001-07-10,1173.92004,1203.43005,53.0,10579211.9,19.33893,0.31617,1024.96,102496.33,-101845.59
2001-07-10,2001-09-21,1203.43005,984.53998,297.0,9815877.77,3.53839,41.5794,1050.9,105090.18,1128767.1
2001-09-21,2001-12-10,984.53998,1158.31006,165.0,11415915.48,5.90267,0.00437,973.94,97394.06,-98295.89
2001-12-10,2002-03-11,1158.31006,1173.03003,234.0,11469674.23,4.84224,1.02516,1133.08,113308.42,-90452.75
2002-03-11,2002-06-10,1173.03003,1038.18005,190.0,10317932.59,5.98683,13.97543,1137.5,113749.77,150645.9
2002-06-10,2002-09-10,1038.18005,909.89002,155.0,9613922.27,6.61331,42.39614,1025.06,102506.3,553608.81
2002-09-10,2002-10-10,909.89002,806.51001,67.0,8547825.25,14.16146,17.37822,948.82,94881.78,20603.47
2002-10-10,2003-01-10,806.51001,932.89002,49.0,9788958.22,17.05448,0.07932,835.67,83566.95,-84013.95
2003-01-10,2003-04-10,932.89002,871.78003,119.0,9154362.78,8.18307,8.17338,973.79,97378.53,-1089.1
2003-04-10,2003-07-10,871.78003,1002.21002,92.0,10417810.71,9.87446,0.00516,908.45,90845.03,-91706.01
2003-07-10,2003-10-10,1002.21002,1040.83997,303.0,10712057.98,3.41865,0.03463,1035.85,103585.1,-103571.66
2003-10-10,2004-02-10,1040.83997,1147.02002,143.0,11687925.08,7.43302,0.07941,1062.92,106292.19,-106219.54
2004-02-10,2004-06-10,1147.02002,1136.46997,341.0,11548742.84,3.40697,2.44509,1161.78,116177.68,-33961.89
2004-06-10,2004-10-12,1136.46997,1124.39001,224.0,11335489.66,5.11983,1.07897,1146.84,114684.19,-91662.1
2004-10-12,2005-02-10,1124.39001,1198.75,409.0,11968403.32,2.75489,0.10754,1126.75,112675.0,-109403.36
2005-02-10,2005-06-10,1198.75,1202.79004,572.0,12005329.36,2.07853,2.02047,1188.92,118891.92,-4509.95
2005-06-10,2005-10-11,1202.79004,1193.09998,229.0,11805345.46,5.2085,0.72595,1192.75,119274.65,-103843.14
2005-10-11,2006-02-10,1193.09998,1269.89001,595.0,12446431.58,1.97134,0.11896,1172.95,117294.73,-111389.56
2006-02-10,2006-06-12,1269.89001,1255.21997,624.0,12319420.93,1.98402,2.22137,1238.03,123802.85,13572.61
2006-06-12,2006-10-10,1255.21997,1354.22998,283.0,13157406.74,4.31865,0.01222,1222.18,122217.8,-123094.15
2006-10-10,2007-02-12,1354.22998,1439.10999,1544.0,13843742.74,0.8476,0.0108,1308.69,130869.44,-130510.61
2007-02-12,2007-03-05,1439.10999,1391.85999,2491.0,14867596.65,0.55293,6.40883,1377.35,137734.86,1457327.34
2007-03-05,2007-07-10,1391.85999,1531.84998,383.0,16183847.66,3.85478,0.1096,1476.38,147638.07,-144916.77
2007-07-10,2007-11-13,1531.84998,1481.37,338.0,15958481.11,4.75992,13.60641,1608.85,160885.3,297402.51
2007-11-13,2008-02-11,1481.37,1341.40002,320.0,14749915.42,4.94837,13.85534,1583.48,158347.84,283439.56
2008-02-11,2008-05-12,1341.40002,1404.06006,144.0,15293644.05,10.15084,0.93834,1461.72,146172.1,-134121.72
2008-05-12,2008-08-11,1404.06006,1313.15002,135.0,14295596.02,11.26643,9.92597,1520.97,152096.8,-19617.18
2008-08-11,2008-10-08,1313.15002,1021.06,122.0,12634847.36,11.60615,132.32228,1415.95,141595.03,1471320.84
2008-10-08,2008-11-10,1021.06,951.95001,56.0,11983893.57,22.40076,60.01751,1254.44,125444.26,209399.36
2008-11-10,2008-12-10,951.95001,908.27002,19.0,11421360.77,61.42808,53.59626,1167.13,116713.35,-16047.59
2008-12-10,2009-01-12,908.27002,890.40002,19.0,11135323.3,57.24015,24.40928,1087.56,108756.28,-63466.21
2009-01-12,2009-02-10,890.40002,868.04999,35.0,10775775.73,31.53096,8.10996,1103.58,110358.36,-83077.08
2009-02-10,2009-03-10,868.04999,719.59998,102.0,9290714.82,10.45832,43.38194,1066.75,106674.86,334754.17
2009-03-10,2009-04-13,719.59998,864.31,65.0,11048628.3,14.19602,1.16738,922.74,92274.13,-85608.9
2009-04-13,2009-05-11,864.31,922.98999,62.0,11694278.57,17.72293,2.2137,1098.82,109882.17,-97256.05
2009-05-11,2009-08-10,922.98999,1010.11999,41.0,12673361.43,27.80901,0.24002,1140.17,114016.94,-114173.03
2009-08-10,2009-11-10,1010.11999,1096.42004,167.0,13621596.29,7.53459,0.18435,1258.28,125827.65,-124007.29
2009-11-10,2010-02-10,1096.42004,1073.67004,205.0,13227488.49,6.58085,1.04109,1349.07,134907.42,-114914.15
2010-02-10,2010-05-10,1073.67004,1163.84998,356.0,14204730.88,3.69062,0.27463,1313.86,131386.07,-122923.1
2010-05-10,2010-08-10,1163.84998,1127.16003,179.0,13681646.09,7.89583,3.46118,1413.35,141335.36,-80793.58
2010-08-10,2010-11-10,1127.16003,1218.75,171.0,14645454.55,7.91573,0.00336,1353.59,135358.98,-136655.12
2010-11-10,2011-03-10,1218.75,1315.71997,181.0,15675570.93,8.01969,1.24122,1451.56,145156.39,-124141.87
2011-03-10,2011-07-11,1315.71997,1343.31006,140.0,15916057.37,11.06591,5.03706,1549.23,154922.74,-85953.13
2011-07-11,2011-11-10,1343.31006,1246.21997,102.0,15268121.53,15.48448,63.134,1579.42,157941.7,484445.68
2011-11-10,2012-02-10,1246.21997,1351.20996,56.0,16381808.49,26.98857,0.00354,1511.36,151135.99,-152627.53
2012-02-10,2012-06-11,1351.20996,1335.52002,172.0,16168026.4,9.45871,7.95992,1626.9,162689.81,-27406.09
2012-06-11,2012-10-10,1335.52002,1442.52002,105.0,17290069.4,15.29416,0.2514,1605.89,160588.68,-159554.87
2012-10-10,2013-02-11,1442.52002,1518.31006,324.0,18054809.58,5.30228,1.17383,1717.94,171793.87,-135479.72
2013-02-11,2013-06-10,1518.31006,1648.68994,194.0,19435635.45,9.25003,1.38032,1794.51,179450.58,-154466.88
2013-06-10,2013-10-10,1648.68994,1692.56006,138.0,19787448.5,13.95966,2.43462,1926.43,192643.31,-160971.98
2013-10-10,2014-02-10,1692.56006,1799.93994,189.0,20868190.59,10.39894,1.89083,1965.4,196539.97,-162768.68
2014-02-10,2014-06-10,1799.93994,1950.85999,142.0,22391910.64,14.60643,0.04286,2074.11,207411.31,-208876.8
2014-06-10,2014-10-10,1950.85999,1936.97998,782.0,22435882.86,2.84881,5.39122,2227.77,222776.94,196588.69
2014-10-10,2015-02-10,1936.97998,2070.86011,184.0,23848567.75,12.11717,5.7243,2229.56,222955.93,-119858.37
2015-02-10,2015-05-11,2070.86011,2117.68994,285.0,24144237.79,8.32138,0.04665,2371.59,237159.33,-238201.4
2015-05-11,2015-09-10,2117.68994,1965.29004,213.0,23541382.84,11.23175,63.12302,2392.36,239236.27,1102891.69
2015-09-10,2015-12-10,1965.29004,2067.6499,108.0,24507287.22,21.48969,0.06197,2320.89,232088.65,-233740.27
2015-12-10,2016-04-11,2067.6499,2062.92993,138.0,24314418.95,17.66109,7.72724,2437.23,243723.04,-139524.36
2016-04-11,2016-08-10,2062.92993,2183.40991,134.0,25528855.15,18.02263,3.8949,2415.03,241503.24,-191726.61
2016-08-10,2016-12-12,2183.40991,2264.03003,118.0,26214008.7,21.39516,0.53876,2524.63,252462.89,-248630.15
2016-12-12,2017-04-10,2264.03003,2366.37012,513.0,27128391.8,5.07975,0.06856,2605.91,260591.18,-259679.96
2017-04-10,2017-08-10,2366.37012,2465.37988,1350.0,28001662.43,1.99874,0.15517,2698.3,269829.9,-251580.25
2017-08-10,2017-12-11,2465.37988,2660.33008,1020.0,29913710.52,2.72996,0.00484,2784.56,278455.92,-280746.8
2017-12-11,2018-02-06,2660.33008,2701.04004,2635.0,34065521.91,1.1295,15.02251,2976.23,297623.25,3657831.9
2018-02-06,2018-06-11,2701.04004,2790.20996,137.0,34816078.3,24.57511,1.3912,3366.79,336679.01,-320986.36
2018-06-11,2018-10-10,2790.20996,2874.02002,389.0,35561597.3,8.90481,1.49817,3463.97,346397.11,-291582.27
2018-10-10,2018-12-06,2874.02002,2696.1499,424.0,36827987.25,8.33142,88.75724,3532.52,353252.21,3406522.25
2018-12-06,2019-03-11,2696.1499,2784.0,133.0,37608546.61,27.39819,0.01985,3643.96,364395.93,-367775.88
