Date,Equity
1990-10-25,82858099.79
1990-10-26,81933859.14
1990-10-29,81210457.31
1990-10-30,80416300.68
1990-10-31,80764930.84
1990-11-01,81174905.38
1990-11-02,82396395.54
1990-11-05,83094167.8
1990-11-06,83134177.98
1990-11-07,82318144.49
1990-11-08,81833607.61
1990-11-09,82886824.8
1990-11-13,84379844.07
1990-11-14,84960292.29
1990-11-15,84617657.26
1990-11-16,84199239.76
1990-11-19,84345034.34
1990-11-20,84332543.95
1990-11-21,83497125.87
1990-11-23,83793951.52
1990-11-26,83582638.8
1990-11-27,84140654.85
1990-11-28,84472447.92
1990-11-29,83944056.99
1990-11-30,85275691.71
1990-12-03,85767382.96
1990-12-04,86257400.16
1990-12-05,87074184.52
1990-12-06,88136311.67
1990-12-07,86927838.18
1990-12-10,86815128.05
1990-12-10,87423766.17
1990-12-11,87399964.11
1990-12-12,87788857.97
1990-12-13,87846793.25
1990-12-14,87514452.85
1990-12-17,86842518.45
1990-12-18,87798956.81
1990-12-19,87896120.92
1990-12-20,87880016.3
1990-12-21,88337459.58
1990-12-24,88141070.09
1990-12-26,88126739.4
1990-12-27,87954796.71
1990-12-28,87339699.24
1990-12-31,87739216.36
1991-01-02,87876658.06
1991-01-03,86759166.04
1991-01-04,85650932.24
1991-01-07,85284687.43
1991-01-08,84225764.18
1991-01-09,85218278.41
1991-01-10,83637385.17
1991-01-11,83761386.8
1991-01-14,83758069.05
1991-01-15,83359891.5
1991-01-16,84210425.41
1991-01-17,87143003.1
1991-01-18,88271376.83
1991-01-22,88014218.95
1991-01-23,87955848.18
1991-01-24,89226319.37
1991-01-25,89515191.77
1991-01-28,89644563.68
1991-01-29,89277204.84
1991-01-30,90572437.88
1991-01-31,91373843.44
1991-02-01,91631063.57
1991-02-04,92642607.76
1991-02-05,93473522.41
1991-02-06,95128034.02
1991-02-07,96551244.82
1991-02-08,95467711.66
1991-02-11,97919151.96
1991-02-12,98439660.91
1991-02-13,98160784.02
1991-02-14,98365362.54
1991-02-15,98160912.18
1991-02-19,98325435.18
1991-02-20,98129017.1
1991-02-21,97443787.74
1991-02-22,98551172.87
1991-02-25,98346544.01
1991-02-26,97568503.45
1991-02-27,97865979.61
1991-02-28,98272180.72
1991-03-01,98420769.89
1991-03-04,98824429.88
1991-03-05,100391478.48
1991-03-06,100861606.6
1991-03-07,100285181.13
1991-03-08,100603924.24
1991-03-11,99650351.02
1991-03-11,96684759.97
1991-03-12,96491772.85
1991-03-13,96569365.25
1991-03-14,97500803.49
1991-03-15,96537871.79
1991-03-18,96410735.77
1991-03-19,95904804.34
1991-03-20,95066389.39
1991-03-21,95621061.09
1991-03-22,94903136.29
1991-03-25,95695823.19
1991-03-26,96979450.29
1991-03-27,97539684.4
1991-03-28,97055135.73
1991-04-01,96700785.29
1991-04-02,97803597.52
1991-04-03,98331553.66
1991-04-04,98413393.91
1991-04-05,98216816.8
1991-04-08,97609711.54
1991-04-09,97677644.03
1991-04-10,96595506.9
1991-04-11,97804423.46
1991-04-12,98200291.61
1991-04-15,98520564.89
1991-04-16,99885074.97
1991-04-17,100822262.72
1991-04-18,100747116.66
1991-04-19,100101238.14
1991-04-22,99002137.57
1991-04-23,98837277.17
1991-04-24,98700087.65
1991-04-25,98666349.82
1991-04-26,97950690.88
1991-04-29,98169733.83
1991-04-30,97371938.86
1991-05-01,98040019.86
1991-05-02,98472426.99
1991-05-03,98178838.86
1991-05-06,98121927.37
1991-05-07,98155397.5
1991-05-08,97730321.5
1991-05-09,98837384.71
1991-05-10,98928525.39
1991-05-13,97154782.0
1991-05-14,96772036.02
1991-05-15,95983938.14
1991-05-16,95994492.55
1991-05-17,96122862.41
1991-05-20,96287055.6
1991-05-21,97061588.1
1991-05-22,97019274.21
1991-05-23,97423376.91
1991-05-24,97426001.4
1991-05-28,98460807.8
1991-05-29,98861758.37
1991-05-30,100023638.88
1991-05-31,100456443.12
1991-06-03,100445956.97
1991-06-04,99995031.19
1991-06-05,100038715.02
1991-06-06,99425525.05
1991-06-07,98853549.85
1991-06-10,97853857.03
1991-06-10,94993414.58
1991-06-11,95462418.41
1991-06-12,95314304.25
1991-06-13,94528321.74
1991-06-14,95627435.84
1991-06-17,95628052.85
1991-06-18,95507436.21
1991-06-19,94696526.66
1991-06-20,94128672.34
1991-06-21,94491162.97
1991-06-24,94494292.41
1991-06-25,93215267.15
1991-06-26,93242313.12
1991-06-27,93655500.24
1991-06-28,93657103.58
1991-07-01,94539630.77
1991-07-02,94541790.15
1991-07-03,94428529.13
1991-07-05,93939890.03
1991-07-08,94543470.37
1991-07-09,94696207.97
1991-07-10,95137150.47
1991-07-11,94468668.21
1991-07-12,95398294.67
1991-07-15,95793588.03
1991-07-16,95778590.39
1991-07-17,95758447.44
1991-07-18,96385176.58
