purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,profit/loss
2009-05-11,2009-08-10,922.98999,1010.11999,8255.0,610168739.27,20.78263,0.04207,171560.61,17156061.07,-17292892.89
2009-08-10,2009-11-10,1010.11999,1096.42004,53135.0,642519186.39,3.42778,0.02493,182135.09,18213509.03,-18263178.56
2009-11-10,2010-03-10,1096.42004,1148.26001,18959.0,655036639.66,10.11591,1.23553,191787.54,19178753.77,-17028099.98
2010-03-10,2010-07-12,1148.26001,1080.78003,29673.0,675077148.85,6.58905,25.71821,195516.88,19551688.07,56566439.59
2010-07-12,2010-10-12,1080.78003,1172.57996,20656.0,709526654.61,9.74415,0.00247,201275.16,20127516.24,-20323689.37
2010-10-12,2011-02-10,1172.57996,1322.78003,35700.0,776350486.32,5.93252,2e-05,211790.96,21179096.4,-21390815.96
2011-02-10,2011-03-10,1322.78003,1315.71997,1420773.0,1129938114.49,0.16311,2.65461,231742.28,23174228.4,353753850.67
2011-03-10,2011-07-11,1315.71997,1343.31006,115524.0,1129103664.06,2.90986,1.22993,336158.67,33615866.66,-19743382.0
2011-07-11,2011-08-08,1343.31006,1198.47998,64061.0,1361227002.95,5.26048,59.38232,336991.61,33699160.93,346372927.61
2011-08-08,2011-11-10,1198.47998,1246.21997,38224.0,1380983838.06,10.60029,3.21979,405185.48,40518548.5,-28616408.68
2011-11-10,2012-02-10,1246.21997,1351.20996,22225.0,1452215526.96,18.54538,1e-05,412171.07,41217107.05,-41629255.9
2012-02-10,2012-06-11,1351.20996,1335.52002,213294.0,1443780645.52,2.03234,2.39295,433485.93,43348592.8,7258109.0
2012-06-11,2012-10-10,1335.52002,1442.52002,83642.0,1512128281.23,5.15067,0.00257,430812.34,43081234.01,-43490550.36
2012-10-10,2013-02-11,1442.52002,1518.31006,930207.0,1550605443.56,0.48524,0.07293,451373.64,45137364.47,-38804738.46
2013-02-11,2013-06-10,1518.31006,1648.68994,277678.0,1636488518.15,1.6668,0.12075,462833.69,46283369.04,-43393240.88
2013-06-10,2013-10-10,1648.68994,1692.56006,135791.0,1632737941.32,3.5973,0.23336,488480.96,48848096.43,-46167758.61
2013-10-10,2014-02-10,1692.56006,1799.93994,252354.0,1688874643.59,1.93126,0.18613,487361.19,48736118.6,-44526414.79
2014-02-10,2014-06-10,1799.93994,1950.85999,139674.0,1775446041.0,3.60922,1e-05,504114.19,50411419.43,-50915393.94
2014-06-10,2014-10-09,1950.85999,1967.68005,12613358.0,2288387530.3,0.04202,0.43284,530013.3,53001330.32,492425244.06
2014-10-09,2015-02-10,1967.68005,2070.86011,328668.0,2394301317.12,2.07338,1.9361,681453.66,68145365.78,-5193407.96
2015-02-10,2015-06-10,2070.86011,2108.5,57921.0,2364442326.41,12.33573,0.06814,714497.82,71449781.73,-71769605.86
