purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,profit/loss
1969-07-28,1969-11-10,91.91,99.23,4843.0,8834.11,0.01341,0.0,-258.94
1969-11-10,1969-11-21,99.23,95.34,6597.0,7987.87,0.00017,0.00208,-251.4
1969-11-21,1969-12-08,95.34,92.05,5930.0,7268.71,0.00034,0.00414,-215.47
1969-12-08,1970-01-26,92.05,89.23,5260.0,6738.37,0.00131,0.0142,-144.2
1970-01-26,1970-04-30,89.23,82.57,4290.0,6457.52,0.00659,0.07618,126.54
1970-04-30,1970-05-14,82.57,76.64,3164.0,6920.97,0.01812,0.24187,579.95
1970-05-14,1970-05-27,76.64,73.22,1658.0,8373.23,0.07134,0.82785,1186.29
1970-05-27,1970-08-10,73.22,77.4,1020.0,7102.63,0.16578,0.00026,-210.83
1970-08-10,1970-12-10,77.4,90.87,1150.0,8036.22,0.1452,0.0,-212.98
1970-12-10,1971-04-12,90.87,103.54,5370.0,8646.91,0.00489,0.0,-242.26
1971-04-12,1971-07-13,103.54,101.06,6403.0,7991.78,0.00051,0.00566,-225.02
1971-07-13,1971-08-17,101.06,101.0,5189.0,8143.79,0.00599,0.06243,84.87
1971-08-17,1971-12-10,101.0,97.69,2055.0,7572.64,0.07413,0.07869,-74.63
1971-12-10,1972-04-10,97.69,110.54,1692.0,8054.39,0.09137,0.0,-222.6
1972-04-10,1972-05-04,110.54,106.81,6018.0,7322.01,0.00015,0.00163,-233.09
1972-05-04,1972-09-11,106.81,110.57,5448.0,7114.96,0.00026,0.0,-219.42
1972-09-11,1973-01-10,110.57,120.44,5271.0,7292.31,0.00049,0.0,-214.58
1973-01-10,1973-01-26,120.44,117.29,5452.0,6677.84,0.00012,0.00155,-212.2
1973-01-26,1973-02-14,117.29,116.92,4950.0,6328.81,0.00042,0.00847,-158.15
1973-02-14,1973-03-22,116.92,110.39,3785.0,6388.64,0.00983,0.10416,205.04
1973-03-22,1973-05-21,110.39,103.77,2579.0,7046.78,0.02971,0.32595,660.0
1973-05-21,1973-09-10,103.77,105.12,981.0,6048.45,0.14971,0.00114,-185.75
1973-09-10,1973-11-19,105.12,103.65,3844.0,6579.37,0.00719,0.1239,294.63
1973-11-19,1973-12-12,103.65,95.52,1080.0,8625.36,0.12948,1.48958,1424.91
1973-12-12,1974-03-11,95.52,99.4,707.0,7020.81,0.25765,0.00054,-211.78
1974-03-11,1974-07-09,99.4,82.5,1047.0,9088.37,0.16109,1.65893,1526.24
1974-07-09,1974-08-29,82.5,71.22,1056.0,9662.75,0.16879,1.69049,1562.92
1974-08-29,1974-11-11,71.22,75.7,1285.0,8279.96,0.14387,0.10053,-107.69
1974-11-11,1975-02-10,75.7,79.4,313.0,8273.66,0.73878,0.0021,-244.58
1975-02-10,1975-06-10,79.4,91.21,612.0,9185.42,0.36522,0.00092,-248.95
1975-06-10,1975-10-10,91.21,89.17,1782.0,9572.16,0.11461,0.26415,194.48
1975-10-10,1976-02-10,89.17,100.96,700.0,9954.43,0.34951,0.00015,-272.55
1976-02-10,1976-06-10,100.96,99.98,3391.0,9432.67,0.04806,0.00183,-292.77
1976-06-10,1976-10-12,99.98,102.19,6302.0,9096.92,0.00487,0.00127,-276.69
1976-10-12,1977-02-10,102.19,101.51,5115.0,8542.71,0.0133,0.00023,-272.85
1977-02-10,1977-05-27,101.51,97.26,6249.0,7806.23,0.001,0.01002,-193.63
1977-05-27,1977-09-12,97.26,96.64,5123.0,7251.12,0.00534,0.00025,-232.08
1977-09-12,1977-11-30,96.64,95.17,5298.0,6830.43,0.00105,0.01189,-154.57
1977-11-30,1978-03-10,95.17,89.25,3840.0,6025.97,0.01286,0.00345,-190.13
1978-03-10,1978-07-10,89.25,95.67,4435.0,6065.54,0.00067,5e-05,-180.75
1978-07-10,1978-11-01,95.67,97.41,4021.0,6254.91,0.00525,0.05429,35.19
1978-11-01,1979-03-12,97.41,100.04,1045.0,5969.53,0.13316,0.00012,-181.03
1979-03-12,1979-07-10,100.04,105.17,4173.0,5907.69,0.00291,0.0,-180.14
1979-07-10,1979-10-10,105.17,106.23,4391.0,5687.78,0.00036,0.00939,-136.35
1979-10-10,1980-02-11,106.23,119.05,2737.0,6014.78,0.02187,5e-05,-169.72
1980-02-11,1980-03-06,119.05,111.29,3578.0,6082.29,0.01042,0.1078,204.43
1980-03-06,1980-03-24,111.29,102.18,2426.0,7025.74,0.03042,0.42196,851.88
1980-03-24,1980-07-10,102.18,118.57,1072.0,6680.81,0.12795,3e-05,-181.13
1980-07-10,1980-11-10,118.57,130.51,3128.0,7055.93,0.02407,0.00986,-170.45
1980-11-10,1981-03-10,130.51,132.64,1125.0,6880.05,0.14724,0.0026,-208.72
1981-03-10,1981-07-10,132.64,130.42999,4139.0,6393.52,0.00984,0.00044,-204.91
1981-07-10,1981-08-24,130.42999,128.59,4731.0,5972.28,0.00053,0.00587,-164.74
1981-08-24,1981-09-08,128.59,120.12,4014.0,5588.44,0.00442,0.04539,2.45
1981-09-08,1982-01-11,120.12,120.34,3267.0,5156.2,0.00963,0.00581,-144.48
1982-01-11,1982-02-23,120.34,112.46,2907.0,5494.36,0.013,0.16478,323.22
1982-02-23,1982-06-10,112.46,109.7,1658.0,4676.69,0.05073,0.00124,-150.05
1982-06-10,1982-08-04,109.7,107.83,3411.0,4439.51,0.00111,0.01837,-79.13
