Date,Equity1,num_stocks,price_stocks,stocks_value,options_value_calc,num_options,options_value_reported
1974-08-09,7541.83,85.0,81.88,6959.8,582.03,1056.0,0.47281997922859365
1974-08-12,7537.66,85.0,81.26,6907.1,630.56,1056.0,0.518776998229745
1974-08-13,7526.16,85.0,79.95,6795.75,730.41,1056.0,0.613330409399226
1974-08-14,7637.93,85.0,76.73,6522.05,1115.88,1056.0,0.9783574005919586
1974-08-15,7614.37,85.0,77.52,6589.2,1025.17,1056.0,0.8924608560850835
1974-08-16,7624.86,85.0,77.02,6546.7,1078.16,1056.0,0.9426440522813255
1974-08-19,7683.38,85.0,75.65,6430.25,1253.13,1056.0,1.1083364026415907
1974-08-20,7646.0,85.0,76.11,6469.35,1176.65,1056.0,1.0359097283355556
1974-08-21,7581.03,85.0,75.5,6417.5,1163.53,1056.0,1.0234805083768048
1974-08-22,7613.32,85.0,74.05,6294.25,1319.07,1056.0,1.1707748041666406
1974-08-23,7645.74,85.0,73.71,6265.35,1380.39,1056.0,1.2288428671972174
1974-08-26,7731.25,85.0,73.17,6219.45,1511.8,1056.0,1.3532895797578632
1974-08-27,7835.2,85.0,72.5,6162.5,1672.7,1056.0,1.505657511501802
1974-08-28,7804.71,85.0,72.17,6134.45,1670.26,1056.0,1.5033391858951628
1974-08-29,7783.59,106.0,71.22,7549.32,234.27,1285.0,0.14386936160950503
1974-08-30,7955.85,106.0,72.68,7704.08,251.77,1285.0,0.15748388399493995
1974-09-03,7946.43,106.0,73.01,7739.06,207.37,1285.0,0.1229345562510813
1974-09-04,7796.13,106.0,69.85,7404.1,392.03,1285.0,0.26664099676766906
1974-09-05,7940.59,106.0,71.3,7557.8,382.79,1285.0,0.2594441480409291
1974-09-06,8004.47,106.0,72.42,7676.52,327.95,1285.0,0.21677094603621638
1974-09-09,7832.91,106.0,71.35,7563.1,269.81,1285.0,0.17152149806771622
1974-09-10,7771.97,106.0,70.47,7469.82,302.15,1285.0,0.19669519687294068
1974-09-11,7744.97,106.0,70.0,7420.0,324.97,1285.0,0.2144506217989215
1974-09-12,7704.44,106.0,68.54,7265.24,439.2,1285.0,0.30334377905694154
1974-09-13,7712.67,106.0,66.91,7092.46,620.21,1285.0,0.4442138212269695
1974-09-16,7764.79,106.0,66.92,7093.52,671.27,1285.0,0.48394268571228416
1974-09-17,7807.32,106.0,68.84,7297.04,510.28,1285.0,0.3586603750640469
1974-09-18,7785.04,106.0,68.14,7222.84,562.2,1285.0,0.3990670277198358
1974-09-19,7980.23,106.0,70.76,7500.56,479.67,1285.0,0.3348386772441865
1974-09-20,7987.61,106.0,71.12,7538.72,448.89,1285.0,0.3108853430025942
1974-09-23,7958.76,106.0,71.02,7528.12,430.64,1285.0,0.29668844122920346
1974-09-24,7911.69,106.0,69.03,7317.18,594.51,1285.0,0.4242121146134368
1974-09-25,7917.43,106.0,69.77,7395.62,521.81,1285.0,0.367632034381117
1974-09-26,7919.54,106.0,67.4,7144.4,775.14,1285.0,0.5647791953684198
1974-09-27,7964.33,106.0,67.09,7111.54,852.79,1285.0,0.6252058573383739
1974-09-30,8106.84,106.0,64.85,6874.1,1232.74,1285.0,0.9208892409566278
1974-10-01,8107.79,106.0,64.37,6823.22,1284.57,1285.0,0.9612232193177235
1974-10-02,8011.89,106.0,64.62,6849.72,1162.17,1285.0,0.8659693922881555
1974-10-03,7973.17,106.0,63.48,6728.88,1244.29,1285.0,0.9298783940759332
1974-10-04,8016.38,106.0,63.23,6702.38,1314.0,1285.0,0.9841226063571504
1974-10-07,8128.68,106.0,65.4,6932.4,1196.28,1285.0,0.8925102876542326
1974-10-08,8063.55,106.0,66.07,7003.42,1060.13,1285.0,0.7865586227180064
1974-10-09,8217.15,106.0,68.15,7223.9,993.25,1285.0,0.7345152391606655
1974-10-10,8230.33,106.0,71.48,7576.88,653.45,1285.0,0.4700773286013318
1974-10-11,8265.04,106.0,71.99,7630.94,634.1,1285.0,0.45502273047178576
1974-10-14,8350.44,106.0,74.43,7889.58,460.86,1285.0,0.3202003158164053
1974-10-15,8308.72,106.0,73.35,7775.1,533.62,1285.0,0.37682240233358577
1974-10-16,8281.78,106.0,71.98,7629.88,651.9,1285.0,0.46887315419640796
1974-10-17,8264.33,106.0,72.0,7632.0,632.33,1285.0,0.45364235600711833
1974-10-18,8305.53,106.0,73.34,7774.04,531.49,1285.0,0.37516914560948234
1974-10-21,8304.44,106.0,73.92,7835.52,468.92,1285.0,0.3264745121291939
